query_raw,query,ref_answer,gpt-4o-mini,gpt-4o,llama-3-8B,llama-3-70B,mixtral-8x7B,gemini-1.5-flash-002,gemini-1.0-pro,gemini-1.5-pro-002,Phi-3.5-mini-instruct,Phi-3-small-8k-instruct,Phi-3-mini-4k-instruct,Phi-3-medium-4k-instruct
"Context: to the extent that these cases are inconsistent with our conclusion herein, they are disapproved.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: to the extent that these cases are inconsistent with our conclusion herein, they are disapproved.
Question: Is it overruling?
Answer:",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Context: we therefore reverse the order denying the motion to suppress and recede from any language in moskowitz which could be interpreted contrary to our holding in this case.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: we therefore reverse the order denying the motion to suppress and recede from any language in moskowitz which could be interpreted contrary to our holding in this case.
Question: Is it overruling?
Answer:",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Context: see brown v. state,
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: see brown v. state,
Question: Is it overruling?
Answer:",no,no,no,no,no,no,no,no,no,no,no,no,no
"Context: at the very least, this court ought to address the problem created by kar because, as this case illustrates, kar is distorting the burden of proof in this important area of the law.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: at the very least, this court ought to address the problem created by kar because, as this case illustrates, kar is distorting the burden of proof in this important area of the law.
Question: Is it overruling?
Answer:",no,no,no,no,no,no,no,no,no,yes,no,no,no
"Context: the federal immigration judge and the board of immigration appeals (bia) found respondent removable, but the ninth circuit summarily remanded in light of its earlier penuliar decision holding that ""aiding and abetting"" a theft is not itself a crime under the generic definition of theft.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: the federal immigration judge and the board of immigration appeals (bia) found respondent removable, but the ninth circuit summarily remanded in light of its earlier penuliar decision holding that ""aiding and abetting"" a theft is not itself a crime under the generic definition of theft.
Question: Is it overruling?
Answer:",yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes
"Context: we therefore recede from dania to the extent that it conflicts with heggs.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: we therefore recede from dania to the extent that it conflicts with heggs.
Question: Is it overruling?
Answer:",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Context: the cases of us diagnostic v. shelby radiology, p.c., 793 so.2d 714 (ala. 2000), wilma corp. v. fleming foods of alabama, inc., 613 so.2d 359 (ala. 1993), hinkle v. cargill, inc., 613 so.2d 1216 (ala. 1992), dean v. myers, 466 so.2d 952 (ala. 1985), and caron v. teagle, 408 so.2d 494 (ala. 1981), are overruled to the extent, but only to the extent, that they conflict with this holding.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: the cases of us diagnostic v. shelby radiology, p.c., 793 so.2d 714 (ala. 2000), wilma corp. v. fleming foods of alabama, inc., 613 so.2d 359 (ala. 1993), hinkle v. cargill, inc., 613 so.2d 1216 (ala. 1992), dean v. myers, 466 so.2d 952 (ala. 1985), and caron v. teagle, 408 so.2d 494 (ala. 1981), are overruled to the extent, but only to the extent, that they conflict with this holding.
Question: Is it overruling?
Answer:",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Context: ms. matlock argues that the alj failed to properly evaluate the medical opinion evidence related to her mental impairments.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: ms. matlock argues that the alj failed to properly evaluate the medical opinion evidence related to her mental impairments.
Question: Is it overruling?
Answer:",no,no,no,no,no,no,no,no,no,no,no,no,no
"Context: the minnesota legislature similarly limited the lewis court's holding.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: the minnesota legislature similarly limited the lewis court's holding.
Question: Is it overruling?
Answer:",yes,no,no,yes,no,no,yes,no,no,yes,yes,no,yes
"Context: insofar as tucker suggests that a maximum-sentence agreement forecloses such issues, and thus provides support for the notion that a certificate of probable cause is necessary to raise them on appeal, tucker, like stewart, should be disapproved
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: insofar as tucker suggests that a maximum-sentence agreement forecloses such issues, and thus provides support for the notion that a certificate of probable cause is necessary to raise them on appeal, tucker, like stewart, should be disapproved
Question: Is it overruling?
Answer:",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
